league,team,h_for,h_against,a_for,a_against,n_home,n_away
d1,dortmund,3.2381792412685617,2.07020010502086,1.9317908193233895,2.0569012715455863,18,17
d1,eintracht frankfurt,2.975304721194178,2.514232125180587,1.8461870466802557,3.2485586913968283,17,18
d1,elversberg,1.0,1.0,1.0,6.0,1,1
d1,fc koln,2.7635363157704593,2.4360377533927577,2.409841881957632,2.776457966255485,15,15
d1,freiburg,2.607703582830983,2.343064023060484,2.312946274427066,2.9669814689136205,18,17
d1,hamburger sv,2.126130013548505,1.9436264628511808,2.022951144487876,3.929581099098346,15,15
d1,heidenheim,2.5427853880412306,3.4038874257218326,1.7221433187989268,2.8497617653978864,19,18
d1,hoffenheim,2.6022810841356145,2.143424918744987,2.3864563339308997,2.5834898911923965,17,18
d1,holstein kiel,2.9307130206712593,2.9307130206712593,1.3339003979585322,4.357799347601911,2,3
d1,mainz,2.2619409084140263,2.0422217582629822,2.2427934123527273,3.1221315375355903,18,17
d1,rb leipzig,3.4638222217422077,2.6214366968624714,2.9777383620849385,1.9364739944237161,18,17
d1,st. pauli,2.464139043647604,3.1939480741627815,1.3350422463062515,3.0724690419444687,18,17
d1,stuttgart,3.482699970889218,2.458366716098141,3.200190289741588,3.044796705526662,17,18
d1,union berlin,2.362497481980188,1.6045689407515868,2.2557077914073735,2.5628014875662037,18,17
d1,werder bremen,3.33508861221668,1.9933980878881306,2.108785709820888,3.1973687139243707,18,17
d1,wolfsburg,2.854308145801697,2.329479801040506,1.8567950799121866,3.999945065796651,17,18
d2,arminia bielefeld,3.39842422789153,1.4971426793870917,1.9251802009186596,3.3497257456968574,15,15
d2,bochum,3.580599720565711,1.6517747206112543,2.2367843981812365,3.2524731115078627,15,15
d2,braunschweig,2.508529875761253,1.9853924974918247,1.835579908245866,2.6468581557995323,20,17
d2,darmstadt,3.1392018361441325,2.2168982883324935,2.0649426728545897,3.054305361762624,18,17
d2,dusseldorf,3.0159805764726206,2.4204057588057006,2.177399920893146,2.850601358171963,17,18
d2,elversberg,3.032443128305614,1.6443022702480772,3.131780791439143,2.185752508858237,17,18
d2,fc koln,4.046248864181254,1.3061298090083675,1.5445463588482327,1.4851512137172558,3,2
d2,greuther furth,2.0519399595354693,2.473811271152603,2.4569920946292934,3.5851353314965086,17,18
d2,hamburger sv,3.548256092089425,1.0,4.59431829332709,1.0256112286747303,2,3
d2,hannover,2.7169965812517987,2.3878213365236673,2.3850131907389116,3.1452054185198417,17,18
d2,hertha berlin,3.1472955911996934,2.2310274336821765,2.1936208738088667,2.6596637935709544,18,17
d2,holstein kiel,1.8724474402534321,1.9308349836477872,1.5780247035007064,3.6073914741889954,15,15
d2,kaiserslautern,3.2624196141134543,1.9775007718956432,2.006199846514364,3.557263818704198,17,18
d2,karlsruher sc,3.2475426907994525,2.8922350366325267,1.6927505211538427,3.163508280134494,17,18
