run_date,match_date,league,home_team,away_team,lambda_home,lambda_away,p_home_win,p_draw,p_away_win,p_raw,market,model_probability,offered_odds,fair_odds,effective_odds,odds_source,implied_probability,edge,variance,variance_class,upset_frequency,recommended
2026-04-05,2026-04-05,I1,cremonese,bologna,0.39844718395676754,1.3001124107500528,0.12691671336841456,0.26329329106702604,0.6097899955645594,0.8730832866315854,X2,0.8378486925341116,1.3,1.1935329241553798,1.3,market,0.7692307692307692,0.06861792330334249,0.10239036000000001,LOW,0.1158,True
2026-04-05,2026-04-05,I1,inter,as roma,2.0459342223652004,0.9326411272887896,0.6437304966149798,0.1780234579719031,0.1782460454131171,0.8217539545868829,1X,0.8344623593230401,1.15,1.1983764022756553,1.15,market,0.8695652173913044,-0.0351028580682643,0.13762755160000004,LOW,0.16478,False
2026-04-05,2026-04-05,F1,angers,lyon,0.7768831722413098,1.9079245993300886,0.15754235122424848,0.19107757359488692,0.6513800751808645,0.8424576487757514,X2,0.8281996601091879,,1.2074383124815125,,missing,,,0.12427302359999999,LOW,0.14542,False
2026-04-05,2026-04-05,DK1,fc copenhagen,silkeborg,1.8804864201571079,0.9378435994066538,0.5865631625900254,0.23632240598763402,0.17711443142234048,0.8228855685776594,1X,0.8201060987511535,,1.2193544244126298,,missing,,,0.15105200640000002,LOW-MEDIUM,0.18544,False
2026-04-05,2026-04-05,F1,monaco,marseille,2.3126702418944522,1.0561477270589306,0.6612447078098869,0.1684905940028248,0.17026469818728834,0.8297353018127116,1X,0.8092868922081506,,1.2356557478294081,,missing,,,0.13397801559999997,LOW,0.15938,False
2026-04-05,2026-04-05,RS1,radnik,crvena zvezda,0.6803027990809628,1.6252018930702432,0.14294285259044265,0.2670910409135076,0.5899661064960495,0.8570571474095572,X2,0.802809834508886,,1.245624999862818,,missing,,,0.1297852416,LOW,0.15328,False
2026-04-05,2026-04-05T15:00:00+00:00,RS1,radnik surdulica,fk crvena zvezda,0.6803027990809628,1.6252018930702432,0.14294285259044265,0.2670910409135076,0.5899661064960495,0.8570571474095572,X2,0.802809834508886,,1.245624999862818,,missing,,,0.1297852416,LOW,0.15328,False
2026-04-05,2026-04-05,SP2,zaragoza,mirandes,0.9708926389637924,0.32607888238094757,0.5200775952964762,0.3488186936479147,0.13110371105560908,0.868896288944391,1X,0.7932252201372817,,1.2606760029981552,,missing,,,0.10788607960000002,LOW,0.12302,False
2026-04-05,2026-04-05,D1,eintracht frankfurt,fc koln,2.0701756445413158,0.9595086720598586,0.61920228090386,0.2225940336398443,0.15820368545629565,0.8417963145437043,1X,0.7919516609872659,,1.2627033305964357,,missing,,,0.1374665884,LOW,0.16454,False
2026-04-05,2026-04-05T15:30:00+00:00,D1,eintracht frankfurt,1. fc köln,2.0701756445413158,0.9595086720598586,0.61920228090386,0.2225940336398443,0.15820368545629565,0.8417963145437043,1X,0.7919516609872659,,1.2627033305964357,,missing,,,0.1374665884,LOW,0.16454,False
2026-04-05,2026-04-05,SP2,las palmas,huesca,1.96235507169843,0.7226368197993103,0.6750075761450988,0.18558918740173386,0.13940323645316738,0.8605967635468326,1X,0.7890482059189589,,1.267349691056401,,missing,,,0.11286309760000002,LOW,0.12968,False
