run_date,match_date,league,home_team,away_team,lambda_home,lambda_away,p_home_win,p_draw,p_away_win,market,model_probability,offered_odds,fair_odds,effective_odds,odds_source,implied_probability,edge,variance,variance_class,upset_frequency,recommended
2026-02-27,2026-02-28T19:00:00+00:00,SA1,neom,al kholood,1.559105145805,0.8652630746846216,0.5221252149818412,0.28308893994560014,0.19478584507255883,1X,0.8052141549274413,,1.2419056394880577,,missing,,,0.1660275516,LOW-MEDIUM,0.21022,False
2026-02-27,2026-02-28T19:00:00+00:00,SA1,al-qadisiyah fc,al taawon,1.5743377762783446,0.8854854998694555,0.5208701062211896,0.2813184188926692,0.1978114748861412,1X,0.8021885251138587,,1.2465897587578492,,missing,,,0.16630551,LOW-MEDIUM,0.2107,False
2026-02-27,2026-02-28T15:00:00+00:00,E0,burnley,brentford,1.146201706991499,1.9458257390626672,0.20735681599546452,0.24901313640653924,0.5436300475979962,X2,0.7926431840045354,1.18,1.2616017145922724,1.18,market,0.8474576271186441,-0.05481444311410877,0.17222594559999999,LOW-MEDIUM,0.22112,False
2026-02-27,2026-02-28T20:30:00+00:00,P1,guimaraes,alverca,1.6660346672341755,0.9229186862685014,0.5506711035420313,0.23836866239164736,0.21096023406632114,1X,0.7890397659336786,,1.2673632472967824,,missing,,,0.16472431960000003,LOW-MEDIUM,0.20798,False
2026-02-27,2026-02-28T14:30:00+00:00,D1,werder bremen,1. fc heidenheim,1.5091310788451966,0.9332594554872665,0.49872314046520294,0.27516407673423854,0.2261127828005586,1X,0.7738872171994415,,1.2921779527756252,,missing,,,0.1791269116,LOW-MEDIUM,0.23378,False
2026-02-27,2026-02-28T15:00:00+00:00,E0,newcastle,everton,1.294930467107772,0.9519119411450363,0.4253531952432594,0.3192579830465367,0.25538882171020394,1X,0.7446111782897961,1.2,1.34298279310925,1.2,market,0.8333333333333334,-0.08872215504353731,0.1995638236,MEDIUM,0.27542,False
2026-02-27,2026-02-28T12:30:00+00:00,E0,bournemouth,sunderland,1.500596495164971,1.0946334516991028,0.4478276842692437,0.2928053731202185,0.25936694261053783,1X,0.7406330573894622,1.2,1.3501962814416337,1.2,market,0.8333333333333334,-0.0927002759438712,0.2006982384,MEDIUM,0.27796,False
2026-02-27,2026-02-28T20:05:00+00:00,F1,le havre,paris saint germain,1.4329888026002409,0.9535433342517559,0.4911402316400951,0.24801035318630543,0.2608494151735994,1X,0.7391505848264006,,1.3529042938319036,,missing,,,0.18824774999999996,MEDIUM,0.2515,False
2026-02-27,2026-02-28T18:00:00+00:00,RO1,farul constanta,cfr 1907 cluj,1.0875046980574476,1.594223886700258,0.2629689917253216,0.24315929151343527,0.4938717167612432,X2,0.7370310082746785,,1.3567950178119474,,missing,,,0.19253432159999997,MEDIUM,0.26028,False
2026-02-27,2026-02-28T15:30:00+00:00,P1,avs,estrela,1.0763027865799109,1.4795016245351356,0.2784598673988784,0.2546013406994385,0.46693879190168325,X2,0.7215401326011217,,1.385924295569038,,missing,,,0.2003512476,MEDIUM,0.27718,False
2026-02-27,2026-02-28T15:00:00+00:00,E1,oxford united,west brom,1.1004120438505358,0.9016393876849363,0.3886974374125413,0.3263872068064431,0.2849153557810156,1X,0.7150846442189844,,1.3984358468390832,,missing,,,0.20835135359999998,MEDIUM,0.29592,False
2026-02-27,2026-02-28T17:30:00+00:00,D1,borussia dortmund,bayern münchen,1.593277820340758,2.1329771798075563,0.2853079312375425,0.21981214892906717,0.49487991983339047,X2,0.7146920687624576,,1.399203998068111,,missing,,,0.2068690176,MEDIUM,0.29232,False
2026-02-27,2026-02-28T15:00:00+00:00,E1,charlton,wrexham,1.1106616554692974,1.372459125271479,0.2939692712716376,0.28759629248645585,0.41843443624190624,X2,0.706030728728362,,1.4163689472852103,,missing,,,0.21266603160000003,MEDIUM,0.30678,False
2026-02-27,2026-02-28T13:00:00+00:00,SP1,rayo vallecano,athletic club,1.0530944489928606,0.8991686100730735,0.37573429932498636,0.3298020166566142,0.29446368401839934,1X,0.7055363159816006,,1.4173614842330506,,missing,,,0.21089889239999998,MEDIUM,0.30226,False
2026-02-27,2026-02-28T15:30:00+00:00,N1,heerenveen,sparta rotterdam,1.6550239763646555,1.298993726963759,0.4572438301943586,0.24150603917842828,0.3012501306272131,1X,0.6987498693727869,,1.4311272800632102,,missing,,,0.21008795160000002,MEDIUM,0.30022,False
2026-02-27,2026-02-28T15:00:00+00:00,RS1,železničar pančevo,vojvodina,1.213171416503526,1.4451610194705846,0.3118460584293386,0.26926993715519515,0.41888400441546614,X2,0.6881539415706612,,1.4531632235042828,,missing,,,0.2169996444,MEDIUM,0.31834,False
2026-02-27,2026-02-28T12:00:00+00:00,RS1,novi pazar,tsc backa topola,1.7836060328052101,1.462612783653334,0.44785388904626067,0.23882458029525172,0.3133215306584877,1X,0.6866784693415124,,1.4562856484475857,,missing,,,0.2165987824,MEDIUM,0.31724,False
2026-02-27,2026-02-28T19:00:00+00:00,SA1,al najma,al okhdood,1.1104107647977044,1.1860501912190466,0.3239410181337913,0.31479814012289326,0.3612608417433157,X2,0.6760589818662089,,1.4791608821460767,,missing,,,0.2253007344,HIGH,0.34284,False
2026-02-27,2026-02-28T17:30:00+00:00,SP1,mallorca,real sociedad,1.4731535038151347,1.299155192799819,0.4046522751858649,0.2695251212551431,0.32582260355899195,1X,0.674177396441008,,1.483289124315075,,missing,,,0.2219035356,HIGH,0.33238,False
2026-02-27,2026-02-28T12:30:00+00:00,E1,portsmouth,hull city,1.2626544400945234,1.3846951284190443,0.3320268186361664,0.2794393710463687,0.38853381031746503,X2,0.6679731813638337,,1.4970660917228007,,missing,,,0.2252504176,HIGH,0.34268,False
