run_date,match_date,league,home_team,away_team,model,lambda_corners,k_dispersion,p_under_12_5_raw,p_under_12_5_cal,p_under_12_5,fair_odds_under_12_5,offered_odds_under_12_5,implied_probability,edge,odds_source,recommended
2026-04-05,2026-04-05T15:00:00+00:00,RS1,radnik,crvena zvezda,nb,9.070690185930445,27.291935420346743,0.8405300163808936,0.8253066887598468,0.8253066887598468,1.2116707808374332,,,,missing,True
2026-04-05,2026-04-05,F1,angers sco,lyon,nb,9.615186170029476,70.72132946781277,0.8137018021251746,0.81936133937997,0.81936133937997,1.2204627579289054,,,,missing,True
2026-04-05,2026-04-05,DK1,fc copenhagen,silkeborg,nb,9.305834956975904,44.07150768448281,0.8324268351425698,0.8165267154830236,0.8165267154830236,1.2246996712268516,,,,missing,True
2026-04-05,2026-04-05,SP1,valencia,celta de vigo,nb,9.595572392721577,48.11125522659204,0.8100778522547202,0.8073034573450252,0.8073034573450252,1.2386915860470795,,,,missing,True
2026-04-05,2026-04-05,D1,union berlin,st. pauli,nb,9.017504418978035,47.367383488964045,0.8558798275326691,0.803382916976578,0.803382916976578,1.2447364499152702,,,,missing,True
2026-04-05,2026-04-05T13:30:00+00:00,D1,union berlin,st. pauli,nb,9.017504418978035,47.367383488964045,0.8558798275326691,0.803382916976578,0.803382916976578,1.2447364499152702,,,,missing,True
2026-04-05,2026-04-05,SP1,real oviedo,sevilla fc,nb,9.818285488425666,48.11125522659204,0.7908232313395449,0.7972340962399161,0.7972340962399161,1.2543367183069707,,,,missing,True
2026-04-05,2026-04-05,D2,schalke,karlsruher sc,nb,9.448451219706758,12.0,0.7865646745389887,0.7930174107499398,0.7930174107499398,1.2610063618329908,,,,missing,True
2026-04-05,2026-04-05T11:30:00+00:00,D2,schalke,karlsruher sc,nb,9.448451219706758,12.0,0.7865646745389887,0.7930174107499398,0.7930174107499398,1.2610063618329908,,,,missing,True
2026-04-05,2026-04-05,D1,frankfurt,1.fc köln,nb,10.0404152487075,47.367383488964045,0.7706639878978014,0.7927424922305071,0.7927424922305071,1.2614436715588955,,,,missing,True
2026-04-05,2026-04-05T15:30:00+00:00,D1,frankfurt,1.fc köln,nb,10.0404152487075,47.367383488964045,0.7706639878978014,0.7927424922305071,0.7927424922305071,1.2614436715588955,,,,missing,True
2026-04-05,2026-04-05,SP1,alavés,ca osasuna,nb,9.997345672718534,48.11125522659204,0.7748088207390674,0.7890986714157968,0.7890986714157968,1.2672686398087645,,,,missing,True
2026-04-05,2026-04-05,D2,braunschweig,nurnberg,nb,9.373871240766446,12.0,0.7922103541815714,0.7878272235103727,0.7878272235103727,1.2693138421191328,,,,missing,True
2026-04-05,2026-04-05T11:30:00+00:00,D2,braunschweig,nurnberg,nb,9.373871240766446,12.0,0.7922103541815714,0.7878272235103727,0.7878272235103727,1.2693138421191328,,,,missing,True
