league,team,h_for,h_against,a_for,a_against,n_home,n_away
rs1,mladost,4.454545454545454,5.0,2.5384615384615383,6.076923076923077,11,13
rs1,mladost gat,3.0,4.0,1.0,12.0,1,1
rs1,napredak,4.357142857142857,4.785714285714286,3.272727272727273,6.181818181818182,14,11
rs1,novi pazar,4.3,3.1,3.923076923076923,5.846153846153846,10,13
rs1,ofk beograd mozzart bet,3.3,5.2,6.0,3.6153846153846154,10,13
rs1,partizan,4.615384615384615,4.3076923076923075,3.6,5.0,13,10
rs1,radnicki 1923,5.142857142857143,5.142857142857143,3.4,3.1,14,10
rs1,radnicki nis,3.076923076923077,3.769230769230769,4.25,4.25,13,12
rs1,radnik,4.777777777777778,3.2222222222222223,2.6666666666666665,4.333333333333333,9,6
rs1,sp. subotica,3.1666666666666665,4.25,3.4545454545454546,6.7272727272727275,12,11
rs1,tekstilac odzaci,4.0,4.25,3.5,5.75,4,4
rs1,tsc,5.3,4.1,5.384615384615385,3.6153846153846154,10,13
rs1,vojvodina,6.444444444444445,3.888888888888889,4.571428571428571,4.857142857142857,9,14
rs1,zeleznicar pancevo,4.5,4.416666666666667,3.3636363636363638,3.1818181818181817,12,11
sa1,al ahli sc,6.454545454545454,2.3636363636363638,5.181818181818182,3.4545454545454546,11,11
sa1,al ettifaq,2.8181818181818183,5.363636363636363,4.5,4.6,11,10
sa1,al fateh,5.909090909090909,5.909090909090909,5.6,5.0,11,10
sa1,al fayha,4.416666666666667,6.5,4.0,5.3,12,10
sa1,al hazem,4.857142857142857,4.0,3.3333333333333335,6.166666666666667,7,6
sa1,al hilal,5.9,3.2,7.090909090909091,3.8181818181818183,10,11
sa1,al ittihad,6.0,3.3333333333333335,4.916666666666667,4.5,9,12
sa1,al khaleej,4.6,6.9,5.363636363636363,4.818181818181818,10,11
sa1,al kholood,4.181818181818182,5.090909090909091,4.1,5.3,11,10
sa1,al najma,5.166666666666667,4.333333333333333,2.3333333333333335,7.833333333333333,6,6
sa1,al nassr,6.4,2.8,6.181818181818182,4.363636363636363,10,11
sa1,al okhdood,3.4,4.6,4.5,6.6,10,10
sa1,al orubah,4.25,6.25,3.25,6.5,4,4
sa1,al qadsiah,6.75,3.0,6.1,2.7,12,10
sa1,al raed,2.6,6.8,6.25,5.25,5,4
