tourney_id,tourney_name,surface,tourney_level,tourney_date,match_date,round,best_of,minutes,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,total_games,w_sets,l_sets,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,w_1stServeIn_pct,w_1stServeWon_pct,w_2ndServeWon_pct,w_aceRate,w_bpSaved_pct,w_returnPtsWon_pct,w_bpConverted_pct,l_1stServeIn_pct,l_1stServeWon_pct,l_2ndServeWon_pct,l_aceRate,l_bpSaved_pct,l_returnPtsWon_pct,l_bpConverted_pct
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R128,3.0,,201397.0,Shuai Peng,R,173.0,CHN,29.0,22.0,1880.0,213583.0,Tatjana Maria,R,172.0,GER,27.4,163.0,325.0,6-4 7-5,22.0,2.0,0.0,1.0,3.0,54.0,32.0,25.0,15.0,11.0,0.0,2.0,4.0,4.0,75.0,36.0,29.0,12.0,11.0,5.0,9.0,0.5925925925925926,0.78125,0.6818181818181818,0.0909090909090909,0.0,0.4533333333333333,0.4444444444444444,0.48,0.8055555555555556,0.3076923076923077,0.3636363636363636,0.5555555555555556,0.2592592592592592,1.0
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R64,3.0,,201662.0,Karolina Pliskova,R,184.0,CZE,22.8,20.0,2075.0,206219.0,Oceane Dodin,R,,FRA,18.2,183.0,295.0,7-5 5-7 6-4,34.0,2.0,1.0,14.0,4.0,90.0,47.0,35.0,19.0,17.0,2.0,8.0,10.0,8.0,93.0,49.0,34.0,15.0,17.0,6.0,13.0,0.5222222222222223,0.7446808510638298,0.4418604651162791,0.8235294117647058,0.25,0.4731182795698925,0.5384615384615384,0.5268817204301075,0.6938775510204082,0.3409090909090909,0.5882352941176471,0.4615384615384615,0.4,0.75
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R64,3.0,,201594.0,Simona Halep,R,168.0,ROU,23.3,3.0,6571.0,201457.0,Jarmila Gajdosova,R,174.0,AUS,27.7,62.0,865.0,6-2 6-2,16.0,2.0,0.0,7.0,2.0,52.0,38.0,30.0,6.0,8.0,1.0,1.0,1.0,2.0,51.0,27.0,19.0,8.0,8.0,1.0,5.0,0.7307692307692307,0.7894736842105263,0.4285714285714285,0.875,1.0,0.4705882352941176,0.8,0.5294117647058824,0.7037037037037037,0.3333333333333333,0.125,0.2,0.3076923076923077,0.0
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R64,3.0,,202469.0,Garbine Muguruza,R,182.0,ESP,21.2,24.0,1845.0,201290.0,Daniela Hantuchova,R,181.0,SVK,31.7,61.0,870.0,6-1 1-6 6-0,20.0,2.0,1.0,5.0,4.0,75.0,35.0,23.0,15.0,10.0,6.0,11.0,2.0,7.0,59.0,39.0,16.0,6.0,10.0,4.0,12.0,0.4666666666666667,0.6571428571428571,0.375,0.5,0.5454545454545454,0.6271186440677966,0.6666666666666666,0.6610169491525424,0.4102564102564102,0.3,0.2,0.3333333333333333,0.4933333333333333,0.4545454545454545
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R128,3.0,,201620.0,Monica Puig,R,170.0,PUR,21.3,60.0,880.0,201613.0,Arina Rodionova,R,168.0,AUS,25.0,252.0,175.0,6-0 6-3,15.0,2.0,0.0,2.0,2.0,48.0,30.0,23.0,11.0,8.0,2.0,2.0,2.0,1.0,42.0,31.0,15.0,5.0,7.0,2.0,6.0,0.625,0.7666666666666667,0.6111111111111112,0.25,1.0,0.5238095238095238,0.6666666666666666,0.7380952380952381,0.4838709677419355,0.4545454545454545,0.2857142857142857,0.3333333333333333,0.2916666666666667,0.0
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R64,3.0,,202429.0,Camila Giorgi,R,168.0,ITA,23.0,33.0,1395.0,202702.0,Tereza Smitkova,R,176.0,CZE,20.2,68.0,811.0,6-1 6-4,17.0,2.0,0.0,8.0,5.0,57.0,29.0,25.0,18.0,9.0,1.0,1.0,4.0,2.0,49.0,26.0,18.0,10.0,8.0,1.0,4.0,0.5087719298245614,0.8620689655172413,0.6428571428571429,0.8888888888888888,1.0,0.4285714285714285,0.75,0.5306122448979592,0.6923076923076923,0.4347826086956521,0.5,0.25,0.2456140350877192,0.0
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R32,3.0,,201495.0,Dominika Cibulkova,R,161.0,SVK,25.7,10.0,3007.0,201427.0,Alize Cornet,R,173.0,FRA,24.9,19.0,2255.0,7-5 6-2,20.0,2.0,0.0,0.0,2.0,71.0,51.0,29.0,12.0,10.0,8.0,11.0,3.0,2.0,71.0,40.0,23.0,11.0,10.0,7.0,13.0,0.7183098591549296,0.5686274509803921,0.6,0.0,0.7272727272727273,0.5211267605633803,0.4615384615384615,0.5633802816901409,0.575,0.3548387096774194,0.3,0.5384615384615384,0.4225352112676056,0.2727272727272727
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R128,3.0,,202446.0,Eugenie Bouchard,R,178.0,CAN,20.8,7.0,4715.0,204431.0,Anna Lena Friedsam,R,,GER,20.9,98.0,601.0,6-2 6-4,18.0,2.0,0.0,3.0,2.0,64.0,43.0,31.0,10.0,9.0,4.0,5.0,4.0,5.0,60.0,38.0,27.0,5.0,9.0,1.0,5.0,0.671875,0.7209302325581395,0.4761904761904761,0.3333333333333333,0.8,0.4666666666666667,0.8,0.6333333333333333,0.7105263157894737,0.2272727272727272,0.4444444444444444,0.2,0.359375,0.2
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R128,3.0,,201588.0,Anna Tatishvili,R,171.0,GEO,24.9,141.0,394.0,200617.0,Kimiko Date Krumm,R,163.0,JPN,44.3,101.0,584.0,7-5 6-4,22.0,2.0,0.0,3.0,1.0,64.0,44.0,27.0,11.0,11.0,3.0,6.0,2.0,4.0,66.0,43.0,27.0,8.0,11.0,3.0,8.0,0.6875,0.6136363636363636,0.55,0.2727272727272727,0.5,0.4696969696969697,0.625,0.6515151515151515,0.627906976744186,0.3478260869565217,0.1818181818181818,0.375,0.40625,0.5
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R128,3.0,,201562.0,Silvia Soler Espinosa,R,169.0,ESP,27.1,69.0,788.0,202470.0,Annika Beck,R,170.0,GER,20.9,55.0,920.0,7-5 6-4,22.0,2.0,0.0,3.0,0.0,65.0,39.0,23.0,17.0,11.0,5.0,8.0,1.0,3.0,73.0,61.0,32.0,6.0,11.0,8.0,13.0,0.6,0.5897435897435898,0.6538461538461539,0.2727272727272727,0.625,0.4794520547945205,0.3846153846153846,0.8356164383561644,0.5245901639344263,0.5,0.0909090909090909,0.6153846153846154,0.3846153846153846,0.375
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R128,3.0,,201594.0,Simona Halep,R,168.0,ROU,23.3,3.0,6571.0,201498.0,Karin Knapp,R,180.0,ITA,27.5,50.0,1015.0,6-3 6-2,17.0,2.0,0.0,1.0,2.0,58.0,33.0,22.0,10.0,8.0,3.0,6.0,1.0,7.0,62.0,33.0,15.0,10.0,9.0,4.0,11.0,0.5689655172413793,0.6666666666666666,0.4,0.125,0.5,0.5967741935483871,0.6363636363636364,0.532258064516129,0.4545454545454545,0.3448275862068966,0.1111111111111111,0.3636363636363636,0.4482758620689655,0.5
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R128,3.0,,201427.0,Alize Cornet,R,173.0,FRA,24.9,19.0,2255.0,201533.0,Shuai Zhang,R,177.0,CHN,25.9,63.0,855.0,6-3 6-2,17.0,2.0,0.0,1.0,2.0,52.0,32.0,21.0,10.0,9.0,0.0,2.0,0.0,5.0,60.0,32.0,20.0,8.0,8.0,4.0,9.0,0.6153846153846154,0.65625,0.5,0.1111111111111111,0.0,0.5333333333333333,0.5555555555555556,0.5333333333333333,0.625,0.2857142857142857,0.0,0.4444444444444444,0.4038461538461538,1.0
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R128,3.0,,200748.0,Venus Williams,R,185.0,USA,34.5,18.0,2370.0,201640.0,Maria Teresa Torro Flor,R,173.0,ESP,22.7,89.0,640.0,6-2 6-2,16.0,2.0,0.0,6.0,2.0,50.0,34.0,27.0,7.0,8.0,4.0,5.0,1.0,7.0,54.0,30.0,15.0,8.0,8.0,4.0,9.0,0.68,0.7941176470588235,0.4375,0.75,0.8,0.5740740740740741,0.5555555555555556,0.5555555555555556,0.5,0.3333333333333333,0.125,0.4444444444444444,0.32,0.2
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R128,3.0,,201495.0,Dominika Cibulkova,R,161.0,SVK,25.7,10.0,3007.0,201465.0,Kirsten Flipkens,R,165.0,BEL,29.0,51.0,1010.0,3-6 6-3 6-1,25.0,2.0,1.0,1.0,2.0,64.0,41.0,36.0,12.0,12.0,1.0,2.0,8.0,1.0,77.0,50.0,32.0,12.0,13.0,5.0,9.0,0.640625,0.8780487804878049,0.5217391304347826,0.0833333333333333,0.5,0.4285714285714285,0.4444444444444444,0.6493506493506493,0.64,0.4444444444444444,0.6153846153846154,0.5555555555555556,0.25,0.5
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R128,3.0,,201468.0,Yaroslava Shvedova,R,180.0,KAZ,27.3,66.0,844.0,201425.0,Lucie Safarova,L,177.0,CZE,27.9,16.0,2545.0,6-4 2-6 8-6,32.0,2.0,1.0,6.0,2.0,105.0,73.0,48.0,19.0,16.0,11.0,14.0,7.0,2.0,98.0,70.0,49.0,13.0,16.0,5.0,8.0,0.6952380952380952,0.6575342465753424,0.59375,0.375,0.7857142857142857,0.3673469387755102,0.375,0.7142857142857143,0.7,0.4642857142857143,0.4375,0.625,0.3619047619047619,0.2142857142857142
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R128,3.0,,200033.0,Serena Williams,R,175.0,USA,33.3,1.0,8016.0,202421.0,Alison Van Uytvanck,R,173.0,BEL,20.8,106.0,544.0,6-0 6-4,16.0,2.0,0.0,11.0,1.0,48.0,28.0,24.0,11.0,8.0,1.0,1.0,2.0,3.0,49.0,27.0,18.0,7.0,8.0,2.0,6.0,0.5833333333333334,0.8571428571428571,0.55,1.375,1.0,0.4897959183673469,0.6666666666666666,0.5510204081632653,0.6666666666666666,0.3181818181818182,0.25,0.3333333333333333,0.2708333333333333,0.0
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R128,3.0,,202418.0,Lara Arruabarrena,R,166.0,ESP,22.8,91.0,625.0,201339.0,Renata Voracova,R,,CZE,31.2,172.0,309.0,6-1 6-2,15.0,2.0,0.0,1.0,2.0,44.0,24.0,17.0,9.0,7.0,2.0,4.0,2.0,1.0,51.0,43.0,16.0,3.0,8.0,3.0,10.0,0.5454545454545454,0.7083333333333334,0.45,0.1428571428571428,0.5,0.6274509803921569,0.7,0.8431372549019608,0.3720930232558139,0.375,0.25,0.3,0.4090909090909091,0.5
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R128,3.0,,201457.0,Jarmila Gajdosova,R,174.0,AUS,27.7,62.0,865.0,201567.0,Alexandra Dulgheru,R,172.0,ROU,25.6,87.0,655.0,6-3 6-4,19.0,2.0,0.0,1.0,4.0,58.0,34.0,26.0,15.0,10.0,3.0,4.0,0.0,6.0,66.0,41.0,29.0,8.0,9.0,8.0,11.0,0.5862068965517241,0.7647058823529411,0.625,0.1,0.75,0.4393939393939394,0.2727272727272727,0.6212121212121212,0.7073170731707317,0.32,0.0,0.7272727272727273,0.293103448275862,0.25
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R128,3.0,,201329.0,Vera Zvonareva,R,172.0,RUS,30.3,203.0,242.0,202460.0,Ons Jabeur,R,167.0,TUN,20.3,140.0,397.0,6-2 6-3,17.0,2.0,0.0,3.0,1.0,56.0,31.0,25.0,12.0,9.0,3.0,4.0,0.0,4.0,44.0,21.0,13.0,7.0,8.0,3.0,7.0,0.5535714285714286,0.8064516129032258,0.48,0.3333333333333333,0.75,0.5454545454545454,0.5714285714285714,0.4772727272727273,0.6190476190476191,0.3043478260869565,0.0,0.4285714285714285,0.3392857142857143,0.25
