bucket,p_mean,y_mean,count,gap,league,market
0.3-0.4,0.3729619397321638,1.0,1,-0.6270380602678363,N1,under_3_5
0.4-0.5,0.46613083790892,0.6,5,-0.13386916209107996,N1,under_3_5
0.5-0.6,0.5734532493083355,0.5328947368421053,152,0.04055851246623021,N1,under_3_5
0.6-0.7,0.6403492075841819,0.6550802139037433,374,-0.014731006319561368,N1,under_3_5
0.7-0.8,0.7201538158112254,0.6666666666666666,12,0.053487149144558765,N1,under_3_5
0.5-0.6,0.5627858553640048,1.0,1,-0.43721414463599517,N1,under_4_5
0.6-0.7,0.6740790680997891,0.75,12,-0.07592093190021088,N1,under_4_5
0.7-0.8,0.7679994018794215,0.7672955974842768,318,0.0007038043951447248,N1,under_4_5
0.8-0.9,0.8218033573583147,0.8160377358490566,212,0.005765621509258079,N1,under_4_5
0.9-1.0,0.9019538359893259,1.0,1,-0.09804616401067412,N1,under_4_5
0.6-0.7,0.6875485190409605,0.7054794520547946,146,-0.017930933013834083,P1,under_3_5
0.7-0.8,0.7223598345941334,0.718801996672213,601,0.003557837921920437,P1,under_3_5
0.8-0.9,0.8264358587707304,0.6666666666666666,3,0.15976919210406382,P1,under_3_5
0.8-0.9,0.8867225818444747,0.8849431818181818,704,0.0017794000262929544,P1,under_4_5
0.9-1.0,0.9075787290806973,0.9347826086956522,46,-0.027203879614954962,P1,under_4_5
0.6-0.7,0.6862403136805513,1.0,2,-0.3137596863194487,RO1,under_3_5
0.7-0.8,0.7650091204919506,0.7632978723404256,752,0.0017112481515250133,RO1,under_3_5
0.8-0.9,0.8292368620336393,0.8666666666666667,15,-0.037429804633027364,RO1,under_3_5
0.9-1.0,0.902444762090643,1.0,1,-0.09755523790935705,RO1,under_3_5
0.8-0.9,0.8831120073700914,0.8831168831168831,770,-4.87574679164382e-06,RO1,under_4_5
0.5-0.6,0.5773553649144864,0.6046511627906976,43,-0.02729579787621128,RS1,under_3_5
0.6-0.7,0.6601578807897496,0.652267818574514,463,0.007890062215235583,RS1,under_3_5
0.7-0.8,0.7270316047563148,0.7376237623762376,202,-0.010592157619922826,RS1,under_3_5
0.8-0.9,0.8329252690642877,0.8571428571428571,14,-0.02421758807856944,RS1,under_3_5
0.6-0.7,0.6931685364879557,1.0,3,-0.30683146351204427,RS1,under_4_5
0.7-0.8,0.7720781043493239,0.7664670658682635,167,0.005611038481060371,RS1,under_4_5
0.8-0.9,0.8452595559851838,0.8467583497053045,509,-0.001498793720120739,RS1,under_4_5
0.9-1.0,0.9243268506774616,0.9069767441860465,43,0.017350106491415107,RS1,under_4_5
0.4-0.5,0.4712535118756731,0.35294117647058826,17,0.11831233540508485,SA1,under_3_5
0.5-0.6,0.5647369191097028,0.5843373493975904,166,-0.019600430287887605,SA1,under_3_5
0.6-0.7,0.6515957045309752,0.6564102564102564,390,-0.004814551879281259,SA1,under_3_5
0.7-0.8,0.7366900412222177,0.7266666666666667,150,0.010023374555551023,SA1,under_3_5
0.8-0.9,0.8427021392554993,0.7857142857142857,14,0.05698785354121361,SA1,under_3_5
0.9-1.0,0.9396397732377197,0.6666666666666666,3,0.2729731065710531,SA1,under_3_5
0.6-0.7,0.6839767105251038,0.5555555555555556,9,0.1284211549695482,SA1,under_4_5
0.7-0.8,0.7678548739219666,0.7509025270758123,277,0.01695234684615432,SA1,under_4_5
0.8-0.9,0.8355594322448775,0.8528735632183908,435,-0.01731413097351331,SA1,under_4_5
0.9-1.0,0.9305334579430792,0.8421052631578947,19,0.08842819478518449,SA1,under_4_5
0.3-0.4,0.39834739208999786,0.0,1,0.39834739208999786,SP1,under_3_5
0.4-0.5,0.47963832304581105,0.6666666666666666,6,-0.18702834362085557,SP1,under_3_5
0.5-0.6,0.5707046173039826,0.4727272727272727,55,0.09797734457670987,SP1,under_3_5
0.6-0.7,0.6584807117728423,0.6857142857142857,245,-0.027233573941443434,SP1,under_3_5
0.7-0.8,0.7520028726956126,0.7607142857142857,560,-0.008711413018673064,SP1,under_3_5
0.8-0.9,0.8337392722057152,0.8120805369127517,298,0.02165873529296347,SP1,under_3_5
0.9-1.0,0.918257398222792,0.8571428571428571,7,0.06111454107993486,SP1,under_3_5
0.5-0.6,0.5560661601750813,0.0,2,0.5560661601750813,SP1,under_4_5
0.6-0.7,0.6659666660476953,0.625,16,0.04096666604769528,SP1,under_4_5
0.7-0.8,0.763791627794207,0.7350993377483444,151,0.0286922900458626,SP1,under_4_5
0.8-0.9,0.8584723498919201,0.8754098360655738,610,-0.01693748617365365,SP1,under_4_5
0.9-1.0,0.9268002316374186,0.916030534351145,393,0.010769697286273638,SP1,under_4_5
