league,market,n,p_mean,y_mean,gap_raw,log_loss_raw,log_loss_cal,brier_raw,brier_cal
I1,under_4_5,886,0.8679712278808605,0.8860045146726863,-0.01803328679182581,0.38449659662752467,0.3534712046985439,0.10962427286892915,0.10075211552164466
I2,under_3_5,842,0.7496348807147591,0.7541567695961995,-0.004521888881440339,0.6207542533648055,0.5577022503729788,0.2054953369571185,0.18539764908556355
I2,under_4_5,842,0.8747464239616488,0.9085510688836105,-0.03380464492196167,0.3484761212412071,0.3058369205249355,0.09479535507279521,0.08307984913516829
N1,under_3_5,544,0.6291524433284873,0.6213235294117647,0.00782891391672258,0.6984028457364677,0.6590857423689086,0.24619770852805575,0.23327397283451123
N1,under_4_5,544,0.7854573350593647,0.7867647058823529,-0.001307370822988263,0.5482993044743628,0.5138167791780501,0.17545548688885865,0.16625752219428935
P1,under_3_5,750,0.7294702944030473,0.716,0.013470294403047367,0.6508770560203917,0.5955946376651569,0.22150031541133375,0.20293313712988328
P1,under_4_5,750,0.8596944606549853,0.888,-0.028305539345014674,0.392798487335797,0.35027232931562174,0.11146200810958916,0.09938370461609085
RO1,under_3_5,770,0.758049835957273,0.7662337662337663,-0.008183930276493223,0.5956605612895294,0.543013037723323,0.18885103950250398,0.1787818966935505
RO1,under_4_5,770,0.8806455329948836,0.8831168831168831,-0.002471350121999505,0.41601838955615605,0.360666091290259,0.11197013674558304,0.1032206518770363
RS1,under_3_5,722,0.6939877380947258,0.6772853185595568,0.016702419535169044,0.6611158093850174,0.6228787444907808,0.22764438333905446,0.21596982724796124
RS1,under_4_5,722,0.8344720362672587,0.832409972299169,0.0020620639680897224,0.46791476922703185,0.44431326865191684,0.14238319631707474,0.13730596720316385
SA1,under_3_5,740,0.682066776564333,0.65,0.03206677656433299,0.6641545586676991,0.6345321347326872,0.228827544939186,0.2213337862363149
SA1,under_4_5,740,0.8253310059345125,0.8108108108108109,0.014520195123701618,0.5071929470389313,0.47758126343936763,0.153581267026679,0.1505035030023347
SP1,under_3_5,1172,0.7396376165274648,0.7440273037542662,-0.004389687226801331,0.560881652268105,0.5521241346724205,0.1861730622236371,0.18362825476204428
SP1,under_4_5,1172,0.8690401546826241,0.8660409556313993,0.00299919905122481,0.38309156989152293,0.37762874269973495,0.11130660997013278,0.1111793100238779
SP2,under_3_5,1061,0.768711207968298,0.7417530631479736,0.026958144820324326,0.6256145813325042,0.5698546575774319,0.1978023671440665,0.1909207690333342
SP2,under_4_5,1061,0.8888554539951593,0.8850141376060321,0.003841316389127214,0.3789464333308095,0.3543179203776034,0.10454960633918717,0.10117740015736763
SW1,under_3_5,619,0.6663585299265885,0.6462035541195477,0.020154975807040842,0.6798292376118811,0.6496207633323241,0.24164085862585055,0.228567719345879
SW1,under_4_5,619,0.8223543044649699,0.8126009693053312,0.00975333515963872,0.5067299984889099,0.48226269624277057,0.16016582723085077,0.15224344193617922
TR1,under_3_5,773,0.6723238285110646,0.6727037516170763,-0.00037992310601164814,0.693678875235047,0.6317737510105986,0.232719284268551,0.21980995777549045
TR1,under_4_5,773,0.8191969545093227,0.8201811125485123,-0.0009841580391896088,0.5282868197241396,0.4710033221416751,0.15877962232769136,0.1474099812838893
TR2,under_3_5,421,0.7258783950817811,0.7387173396674585,-0.012838944585677359,0.6977430046079401,0.5740601201345151,0.2174072797549365,0.19283022421329846
TR2,under_4_5,421,0.8493793254528909,0.8598574821852731,-0.010478156732382282,0.46814031460991345,0.40234060995093085,0.12554141268421715,0.11904505576862683
