run_date,match_date,league,home_team,away_team,xg_total,k_estimate,p_goal_before_45_raw,p_goal_before_45_cal,league_bias,p_goal_before_45,offered_odds,implied_probability,edge,edge_weighted,recommended
2026-03-07,2026-03-07T12:30:00+00:00,E1,hull city,millwall,2.8437842614772633,1.2,0.7099868451158204,0.6994304965298176,0.9999881074087922,0.6994304965298176,,,,,False
2026-03-07,2026-03-07T14:00:00+00:00,RS1,javor,cukaricki,2.5105786199564033,1.2,0.6647211870687434,0.6991174386022222,0.9999944175511744,0.6991174386022222,,,,,False
2026-03-07,2026-03-07T17:00:00+00:00,I1,atalanta,udinese,2.5057862067643173,1.2,0.6640210591077818,0.6972536219653833,0.999988729192134,0.6972536219653833,1.17,0.8547008547008548,-0.15744723273547145,-0.15744545817796227,False
2026-03-07,2026-03-07T19:00:00+00:00,SA1,al okhdood,al-fayha,2.6598113551864557,1.2,0.6858077240718256,0.6970972886665424,0.9999993393688498,0.6970972886665424,,,,,False
2026-03-07,2026-03-07T14:00:00+00:00,I1,cagliari,como,2.464871352227402,1.2,0.6579839359331812,0.6942368780556725,0.999988729192134,0.6942368780556725,2.38,0.42016806722689076,0.2740688108287817,0.2740657218518728,False
2026-03-07,2026-03-07T15:00:00+00:00,E1,sheffield utd,west brom,2.7407706619019794,1.2,0.6966869145988569,0.6938004486465319,0.9999881074087922,0.6938004486465319,,,,,False
2026-03-07,2026-03-07T15:00:00+00:00,RO1,fc botosani,petrolul ploiesti,1.606535717068426,1.2,0.5030596532377685,0.6934362179805098,0.9999982592092708,0.6934362179805098,,,,,False
2026-03-07,2026-03-07T13:00:00+00:00,SP1,osasuna,mallorca,2.415209548720567,1.2,0.6505102399379195,0.6912443328121707,0.9999961412928804,0.6912443328121707,,,,,False
2026-03-07,2026-03-07T16:00:00+00:00,F1,nantes,angers,1.8900230361945387,1.2,0.5607472579671549,0.6812263863915113,0.9999988681418992,0.6812263863915113,,,,,False
2026-03-07,2026-03-07T15:00:00+00:00,E1,charlton,birmingham,2.1855192455247408,1.2,0.6137623808030865,0.6601565200847042,0.9999881074087922,0.6601565200847042,,,,,False
2026-03-07,2026-03-07T12:30:00+00:00,E1,blackburn,portsmouth,1.929114454071215,1.2,0.5681581463723768,0.6422375039627671,0.9999881074087922,0.6422375039627671,,,,,False
2026-03-07,2026-03-07T15:00:00+00:00,E1,swansea,stoke city,1.8573717672527348,1.2,0.5544598974236186,0.6368782979744895,0.9999881074087922,0.6368782979744895,,,,,False
2026-03-07,2026-03-07T12:00:00+00:00,RS1,tsc backa topola,železničar pančevo,1.5677443739983712,1.2,0.4945976195180729,0.6243140893399864,0.9999944175511744,0.6243140893399864,,,,,False
